Your mean shoe size (In European Continental system),Target,Your height (in International inches),Number of words written
0.8,1.0,0.971,0.147
0.2,1.0,0.264,0.441
0.8,1.0,0.971,0.118
0.2,1.0,0.286,0.294
0.8,1.0,0.743,0.147
0.2,1.0,0.143,0.118
0.9,1.0,0.714,0.147
0.6,1.0,0.693,0.441
0.15,1.0,0.571,0.294
0.65,1.0,0.579,0.5
0.3,1.0,0.371,0.294
0.8,1.0,1.0,0.441
0.3,1.0,0.214,0.118
1.0,1.0,0.714,0.294
0.8,1.0,0.857,0.118
0.1,1.0,0.1,0.265
0.65,1.0,0.664,0.294
0.9,2.0,0.829,0.147
0.3,1.0,0.464,0.441
0.3,1.0,0.5,0.118
0.8,1.0,0.786,0.118
0.8,1.0,0.8,0.471
0.3,1.0,0.429,0.118
0.7,1.0,0.8,0.118
0.25,1.0,0.429,0.471
0.3,1.0,0.579,0.147
0.2,4.0,0.579,0.5
0.8,1.0,0.643,0.294
0.1,1.0,0.214,0.118
0.9,1.0,0.786,0.294
0.2,1.0,0.143,0.971
0.1,4.0,0.129,0.147
0.2,1.0,0.186,0.441
0.0,1.0,0.071,0.294
0.4,1.0,0.429,0.618
0.7,1.0,0.643,0.294
0.3,1.0,0.407,0.618
0.65,4.0,0.493,0.324
0.75,1.0,0.657,0.324
0.3,1.0,0.429,0.118
0.9,1.0,0.786,0.294
0.5,4.0,0.607,0.471
0.7,4.0,0.429,0.118
0.4,1.0,0.629,0.676
1.0,4.0,0.636,0.029
0.2,1.0,0.436,0.147
0.4,1.0,0.714,0.147
0.9,1.0,0.914,0.588
0.6,1.0,0.743,0.059
0.1,1.0,0.071,0.294
0.3,1.0,0.286,0.265
0.9,1.0,0.571,0.118
0.2,4.0,0.521,0.118
0.5,1.0,0.407,0.265
0.3,4.0,0.0,0.324
0.3,1.0,0.286,0.265
0.5,1.0,0.664,0.118
0.8,1.0,0.714,1.0
0.6,1.0,0.629,0.294
0.4,1.0,0.714,0.5
0.8,1.0,0.771,0.324
0.2,1.0,0.014,0.118
0.6,4.0,0.714,0.382
0.5,4.0,0.321,0.324
0.8,4.0,0.971,0.647
0.6,1.0,0.571,0.294
0.4,3.0,0.5,0.118
0.3,4.0,0.493,0.176
0.85,1.0,0.929,0.118
0.3,1.0,0.293,0.0
0.7,4.0,0.943,0.324
0.4,4.0,0.429,0.441
0.8,4.0,0.5,0.765
0.75,1.0,0.829,0.118
0.0,4.0,0.029,0.324
0.8,1.0,0.571,0.118
0.7,4.0,0.857,0.176
0.9,4.0,0.857,0.176
0.65,1.0,0.579,0.324
0.55,1.0,0.579,0.529
0.5,1.0,0.429,0.471
0.1,1.0,0.129,0.324
0.55,4.0,0.357,0.176
0.2,1.0,0.143,0.265
0.2,1.0,0.043,0.265
0.9,1.0,0.8,0.294
0.85,1.0,0.829,0.176
